L1 Size (Bytes)	Associativity	Victim Cache Entries	Average Access Time (cycles)
1024	1-way	0	0.7861
1024	1-way	4	0.7905
1024	1-way	8	0.7845
1024	1-way	16	0.7769
2048	1-way	0	0.7802
2048	1-way	4	0.7839
2048	1-way	8	0.78
2048	1-way	16	0.7751
2048	2-way	0	0.7986
4096	1-way	0	0.7771
4096	1-way	4	0.7824
4096	1-way	8	0.7799
4096	1-way	16	0.7752
4096	2-way	0	0.7918
4096	4-way	0	0.8021
8192	1-way	0	0.782
8192	2-way	0	0.8021
8192	4-way	0	0.8039
16384	1-way	0	0.7996
16384	2-way	0	0.8171
16384	4-way	0	0.8242
32768	1-way	0	0.8306
32768	1-way	4	0.832
32768	1-way	8	0.8317
32768	1-way	16	0.8313
32768	2-way	0	0.8562
32768	4-way	0	0.8616
